,Quarter,Tm,Detail,DET,BAL
0,1.0,Colts,Jerry Logan 43 yard punt return (Lou Michaels kick),0,7
1,2.0,Colts,Tom Matte 2 yard rush,0,13
2,2.0,Colts,Tom Matte 2 yard rush (Lou Michaels kick),0,20
3,3.0,Colts,Tony Lorick 1 yard rush (Lou Michaels kick),0,27
4,4.0,Colts,Alex Hawkins 17 yard pass from Johnny Unitas (Lou Michaels kick),0,34
5,4.0,Colts,Willie Richardson 20 yard pass from Jim Ward (Lou Michaels kick),0,41
6,4.0,Lions,Tom Watkins 2 yard rush (Wayne Walker kick),7,41
