,Quarter,Tm,Detail,CHI,MIN
0,1.0,Vikings,Fred Cox 41 yard field goal,0,3
1,1.0,Bears,Mirro Roder 43 yard field goal,3,3
2,2.0,Vikings,Chuck Foreman 2 yard rush (Fred Cox kick),3,10
3,3.0,Bears,Mirro Roder 24 yard field goal,6,10
4,3.0,Vikings,John Gilliam 54 yard pass from Fran Tarkenton (Fred Cox kick),6,17
5,3.0,Vikings,Fran Tarkenton 8 yard rush (Fred Cox kick),6,24
6,4.0,Vikings,John Gilliam 30 yard pass from Bob Berry (Fred Cox kick),6,31
7,4.0,Bears,Earl Thomas 29 yard pass from Gary Huff (Mirro Roder kick),13,31
