,Quarter,Tm,Detail,DAL,RAM
0,1.0,Cowboys,Don Perkins 5 yard rush (Sam Baker kick),7,0
1,2.0,Rams,Danny Villanueva 51 yard field goal,7,3
2,2.0,Cowboys,Sam Baker 34 yard field goal,10,3
3,3.0,Cowboys,Amos Marsh 85 yard pass from Eddie LeBaron (Sam Baker kick),17,3
4,4.0,Rams,Red Phillips 16 yard pass from Zeke Bratkowski (Danny Villanueva kick),17,10
5,4.0,Cowboys,Frank Clarke 66 yard pass from Eddie LeBaron (Sam Baker kick),24,10
6,4.0,Cowboys,Sam Baker 48 yard field goal,27,10
7,4.0,Rams,Pervis Atkins 48 yard pass from Roman Gabriel (Danny Villanueva kick),27,17
