,Quarter,Time,Tm,Detail,KAN,DEN
0,1.0,9:12,Broncos,Royce Freeman 1 yard rush (run failed),0,6
1,1.0,4:19,Chiefs,Mecole Hardman 21 yard pass from Patrick Mahomes (Harrison Butker kick),7,6
2,1.0,1:04,Chiefs,Harrison Butker 33 yard field goal,10,6
3,2.0,8:04,Chiefs,Harrison Butker 20 yard field goal,13,6
4,2.0,7:17,Chiefs,Reggie Ragland 5 yard fumble return (Harrison Butker kick),20,6
5,3.0,4:30,Chiefs,Tyreek Hill 57 yard pass from Matt Moore (Harrison Butker kick),27,6
6,4.0,5:08,Chiefs,Harrison Butker 39 yard field goal,30,6
