,Quarter,Time,Tm,Detail,PIT,ARI
0,1.0,0:31,Steelers,Santonio Holmes 43 yard pass from Ben Roethlisberger (Jeff Reed kick),7,0
1,3.0,7:24,Cardinals,Jerheme Urban 6 yard pass from Kurt Warner (Neil Rackers kick),7,7
2,4.0,14:10,Cardinals,Steve Breaston 73 yard punt return (Neil Rackers kick),7,14
3,4.0,4:14,Cardinals,Edgerrin James 2 yard rush (Neil Rackers kick),7,21
4,4.0,1:49,Steelers,Santonio Holmes 7 yard pass from Ben Roethlisberger (Jeff Reed kick),14,21
