,Quarter,Tm,Detail,SDG,NWE
0,1.0,Patriots,Jeff White 11 yard field goal,0,3
1,2.0,Chargers,Floyd Rice 51 yard defensive fumble return (Dennis Partee kick),7,3
2,2.0,Chargers,Robert Holmes 1 yard rush (Dennis Partee kick),14,3
3,2.0,Patriots,Mack Herron 92 yard kickoff return,14,9
4,2.0,Patriots,Randy Vataha 14 yard pass from Jim Plunkett (Jeff White kick),14,16
5,3.0,Patriots,Jim Plunkett 1 yard rush (Jeff White kick),14,23
6,4.0,Patriots,Jim Plunkett 3 yard rush (Jeff White kick),14,30
