,Quarter,Tm,Detail,POT,PRV
0,3.0,Steam Roller,Wildcat Wilson unknown yard rush (Gus Sonnenberg kick),0,7
1,3.0,Steam Roller,Jimmy Conzelman 34 yard pass from Wildcat Wilson,0,13
2,4.0,Steam Roller,Wildcat Wilson 5 yard rush (Gus Sonnenberg kick),0,20
