,Quarter,Tm,Detail,DEN,IND
0,1.0,Broncos,Ricky Nattiel 52 yard pass from John Elway (David Treadwell kick),7,0
1,1.0,Colts,Dean Biasucci 32 yard field goal,7,3
2,2.0,Broncos,Mark Jackson 5 yard pass from John Elway (David Treadwell kick),14,3
3,2.0,Broncos,David Treadwell 39 yard field goal,17,3
4,2.0,Colts,Anthony Johnson 1 yard pass from Jack Trudeau (Dean Biasucci kick),17,10
5,4.0,Colts,Jessie Hester 5 yard pass from Jack Trudeau (Dean Biasucci kick),17,17
6,4.0,Broncos,David Treadwell 42 yard field goal,20,17
7,4.0,Broncos,Steve Sewell 2 yard rush (David Treadwell kick),27,17
