,Quarter,Time,Tm,Detail,DEN,JAX
0,1.0,8:01,Broncos,Rod Smith 22 yard pass from Brian Griese (Jason Elam kick),7,0
1,2.0,13:40,Broncos,Olandis Gary 1 yard rush (Jason Elam kick),14,0
2,2.0,6:15,Jaguars,James Stewart 5 yard rush (Mike Hollis kick),14,7
3,2.0,2:44,Jaguars,Mike Hollis 49 yard field goal,14,10
4,2.0,0:29,Jaguars,James Stewart 1 yard rush (Mike Hollis kick),14,17
5,3.0,2:44,Broncos,Jason Elam 40 yard field goal,17,17
6,4.0,2:35,Jaguars,Fred Taylor 38 yard rush (Mike Hollis kick),17,24
7,4.0,1:43,Broncos,Byron Chamberlain 57 yard pass from Brian Griese (Jason Elam kick),24,24
8,4.0,0:00,Jaguars,Mike Hollis 23 yard field goal,24,27
