,Quarter,Tm,Detail,STL,TAM
0,1.0,Buccaneers,Donald Igwebuike 47 yard field goal,0,3
1,2.0,Buccaneers,Adger Armstrong 1 yard pass from Steve DeBerg (Donald Igwebuike kick),0,10
2,4.0,Buccaneers,Donald Igwebuike 46 yard field goal,0,13
3,4.0,Buccaneers,Donald Igwebuike 50 yard field goal,0,16
