,Quarter,Time,Tm,Detail,STL,ATL
0,1.0,12:32,Rams,Dre' Bly 56 yard interception return (Jeff Wilkins kick),7,0
1,1.0,9:25,Falcons,Jay Feely 41 yard field goal,7,3
2,1.0,3:32,Rams,Marshall Faulk 19 yard pass from Kurt Warner (Jeff Wilkins kick),14,3
3,2.0,5:35,Falcons,Jay Feely 24 yard field goal,14,6
4,3.0,13:22,Rams,Torry Holt 45 yard pass from Kurt Warner (Jeff Wilkins kick),21,6
5,3.0,6:03,Rams,Marshall Faulk 9 yard pass from Kurt Warner (Jeff Wilkins kick),28,6
6,4.0,6:19,Rams,Marshall Faulk 65 yard pass from Kurt Warner (Jeff Wilkins kick),35,6
