,Quarter,Time,Tm,Detail,BUF,DEN
0,1.0,,Broncos,Jason Elam 22 yard field goal,0,3
1,1.0,,Bills,Andre Reed 34 yard pass from Jim Kelly (Steve Christie kick),7,3
2,2.0,1:28,Broncos,Jason Elam 52 yard field goal,7,6
3,2.0,1:28,Broncos,Jason Elam 20 yard field goal,7,9
4,2.0,1:28,Broncos,Jason Elam 38 yard field goal,7,12
5,4.0,1:28,Broncos,Jason Elam 37 yard field goal,7,15
6,4.0,1:28,Broncos,Terrell Davis 3 yard rush (Jason Elam kick),7,22
