,Quarter,Tm,Detail,NYG,BUF
0,1.0,Giants,Ray Flaherty 30 yard pass from Benny Friedman (Benny Friedman kick),7,0
1,1.0,Giants,Tiny Feather unknown yard rush (Benny Friedman kick),14,0
2,2.0,Giants,Len Sedbrook 70 yard pass from Benny Friedman (Benny Friedman kick),21,0
3,2.0,Giants,Tony Plansky 18 yard rush,27,0
4,2.0,Bisons,Cassy Ryan 40 yard pass from Chuck Weimer,27,6
5,2.0,Giants,Jack Hagerty 97 yard kickoff return,33,6
6,2.0,Giants,Ray Flaherty 50 yard pass from Hap Moran,39,6
7,4.0,Giants,Tony Plansky 50 yard rush,45,6
