,Quarter,Tm,Detail,BAL,NYJ
0,1.0,Jets,Dave Jacobs 28 yard field goal,0,3
1,1.0,Colts,Steve Mike-Mayer 20 yard field goal,3,3
2,2.0,Jets,Jerome Barkum 3 yard pass from Richard Todd (Dave Jacobs kick),3,10
3,2.0,Jets,Dave Jacobs 27 yard field goal,3,13
4,2.0,Jets,Richard Todd 1 yard rush (Dave Jacobs kick),3,20
5,3.0,Colts,Joe Washington 1 yard rush (Steve Mike-Mayer kick),10,20
6,3.0,Jets,Tom Newton 1 yard rush (Dave Jacobs kick),10,27
7,3.0,Colts,Glenn Doughty 14 yard pass from Greg Landry (Steve Mike-Mayer kick),17,27
8,4.0,Jets,Dave Jacobs 42 yard field goal,17,30
