,Quarter,Tm,Detail,KAN,MIA
0,1,Chiefs,Tommy Reamon 1 yard rush (Jan Stenerud kick),7,0
1,2,Chiefs,Jan Stenerud 29 yard field goal,10,0
2,3,Dolphins,Norm Bulaich 2 yard rush (Garo Yepremian kick),10,7
3,4,Dolphins,Howard Twilley 4 yard pass from Bob Griese (Garo Yepremian kick),10,14
4,4,Chiefs,Henry Marshall 59 yard rush (Jan Stenerud kick),17,14
5,4,Dolphins,Garo Yepremian 27 yard field goal,17,17
6,OT,Chiefs,Jan Stenerud 34 yard field goal,20,17
