,Quarter,Tm,Detail,NYG,DET
0,1.0,Lions,Dutch Clark 1 yard rush (Dutch Clark kick),0,7
1,2.0,Lions,Dutch Clark 25 yard field goal,0,10
2,2.0,Lions,Ernie Caddel 40 yard rush (Dutch Clark kick),0,17
3,3.0,Lions,Dutch Clark 1 yard rush (Dutch Clark kick),0,24
4,3.0,Lions,Ernie Caddel 40 yard rush (Glenn Presnell kick),0,31
5,4.0,Lions,Del Ritchhart 92 yard interception return (Glenn Presnell kick),0,38
