,Quarter,Tm,Detail,NWE,BAL
0,2.0,Patriots,John Tanner 2 yard pass from Jim Plunkett (John Smith kick),7,0
1,2.0,Colts,Toni Linhart 25 yard field goal,7,3
2,2.0,Patriots,Jim Plunkett 1 yard rush (John Smith kick),14,3
3,2.0,Patriots,John Smith 33 yard field goal,17,3
4,3.0,Colts,Lydell Mitchell 31 yard rush (Toni Linhart kick),17,10
5,4.0,Patriots,Mack Herron 1 yard rush (John Smith kick),24,10
6,4.0,Patriots,John Smith 28 yard field goal,27,10
7,4.0,Colts,Marty Domres 2 yard rush (Toni Linhart kick),27,17
