,Quarter,Time,Tm,Detail,ARI,DET
0,1.0,2:21,Lions,Theo Riddick 6 yard pass from Matthew Stafford (Matt Prater kick),0,7
1,2.0,14:55,Cardinals,Darren Fells 14 yard pass from Carson Palmer (Chandler Catanzaro kick),7,7
2,2.0,10:56,Cardinals,David Johnson 4 yard rush (Chandler Catanzaro kick),14,7
3,2.0,3:11,Cardinals,David Johnson 2 yard rush (Chandler Catanzaro kick),21,7
4,2.0,2:08,Cardinals,John Brown 18 yard pass from Carson Palmer (Chandler Catanzaro kick),28,7
5,3.0,6:27,Cardinals,Larry Fitzgerald 2 yard pass from Carson Palmer (Chandler Catanzaro kick),35,7
6,4.0,11:51,Lions,Matt Prater 40 yard field goal,35,10
7,4.0,10:20,Cardinals,Andre Ellington 63 yard rush (Chandler Catanzaro kick),42,10
8,4.0,1:29,Lions,Lance Moore 13 yard pass from Dan Orlovsky (Matt Prater kick),42,17
