,Quarter,Tm,Detail,IND,BUF
0,1.0,Bills,Rodney Bellinger 15 yard defensive fumble return (Scott Norwood kick),0,7
1,1.0,Colts,Dean Biasucci 46 yard field goal,3,7
2,2.0,Bills,Scott Norwood 37 yard field goal,3,10
3,2.0,Colts,Dean Biasucci 44 yard field goal,6,10
4,2.0,Bills,Andre Reed 6 yard pass from Jim Kelly (Scott Norwood kick),6,17
5,3.0,Colts,Bill Brooks 18 yard pass from Jack Trudeau (Dean Biasucci kick),13,17
6,3.0,Bills,Andre Reed 13 yard pass from Jim Kelly (Scott Norwood kick),13,24
