,Quarter,Time,Tm,Detail,STL,SEA
0,1.0,11:59,Seahawks,Orlando Huff fumble recovery in end zone (Josh Brown kick),0,7
1,1.0,3:29,Rams,Marc Bulger 3 yard rush (Jeff Wilkins kick),7,7
2,2.0,9:10,Rams,Isaac Bruce 7 yard pass from Marc Bulger (Jeff Wilkins kick),14,7
3,2.0,2:21,Rams,Jeff Wilkins 28 yard field goal,17,7
4,2.0,0:12,Seahawks,Josh Brown 36 yard field goal,17,10
5,3.0,10:48,Rams,Jeff Wilkins 33 yard field goal,20,10
6,3.0,3:52,Rams,Jeff Wilkins 33 yard field goal,23,10
7,4.0,14:10,Seahawks,Darrell Jackson 15 yard pass from Matt Hasselbeck (Josh Brown kick),23,17
8,4.0,1:00,Seahawks,Koren Robinson 3 yard pass from Matt Hasselbeck (Josh Brown kick),23,24
