,Quarter,Tm,Detail,MIA,DAL
0,1.0,Cowboys,Ron Springs 5 yard rush (Rafael Septien kick),0,7
1,2.0,Dolphins,Tony Nathan 5 yard pass from David Woodley,6,7
2,2.0,Cowboys,Butch Johnson 21 yard pass from Danny White (Rafael Septien kick),6,14
3,3.0,Dolphins,Jimmy Cefalo 69 yard pass from David Woodley (Uwe von Schamann kick),13,14
4,4.0,Dolphins,Tony Nathan 10 yard rush (Uwe von Schamann kick),20,14
5,4.0,Dolphins,Joe Rose 4 yard pass from David Woodley (Uwe von Schamann kick),27,14
6,4.0,Cowboys,Doug Cosbie 5 yard pass from Danny White (Rafael Septien kick),27,21
7,4.0,Cowboys,Ron Springs 32 yard pass from Danny White (Rafael Septien kick),27,28
