,Quarter,Tm,Detail,BAL,RAM
0,1.0,Colts,Bill Olds 28 yard pass from Bert Jones (Toni Linhart kick),7,0
1,2.0,Rams,Harold Jackson 37 yard pass from James Harris (Tom Dempsey kick),7,7
2,2.0,Colts,Jimmie Kennedy 3 yard pass from Bert Jones,13,7
3,3.0,Rams,Tom Dempsey 27 yard field goal,13,10
4,4.0,Rams,Lawrence McCutcheon 25 yard rush (Tom Dempsey kick),13,17
5,4.0,Rams,Ron Jessie 14 yard pass from James Harris (Tom Dempsey kick),13,24
