,Quarter,Tm,Detail,MIN,RAM
0,1.0,Rams,Carroll Dale 13 yard pass from Roman Gabriel (Danny Villanueva kick),0,7
1,2.0,Vikings,Fred Cox 46 yard field goal,3,7
2,2.0,Vikings,Jerry Reichow 57 yard pass from Fran Tarkenton (Fred Cox kick),10,7
3,2.0,Rams,Art Perkins 2 yard rush (Danny Villanueva kick),10,14
4,3.0,Vikings,Bill Brown 78 yard kickoff return (Fred Cox kick),17,14
5,3.0,Vikings,Bill Brown 7 yard pass from Fran Tarkenton (Fred Cox kick),24,14
6,3.0,Rams,Roman Gabriel 1 yard rush (Danny Villanueva kick),24,21
7,4.0,Rams,Danny Villanueva 27 yard field goal,24,24
8,4.0,Rams,Danny Villanueva 27 yard field goal,24,27
