,Quarter,Time,Tm,Detail,NOR,TAM
0,1.0,,Saints,Morten Andersen 43 yard field goal,3,0
1,1.0,,Saints,Morten Andersen 31 yard field goal,6,0
2,2.0,,Buccaneers,Jackie Harris 10 yard pass from Craig Erickson (Michael Husted kick),6,7
3,2.0,,Saints,Morten Andersen 43 yard field goal,9,7
