,Quarter,Tm,Detail,PHI,WAS
0,1.0,Redskins,Mark Moseley 45 yard field goal,0,3
1,2.0,Redskins,Charlie Brown 65 yard pass from Joe Theismann (Mark Moseley kick),0,10
2,3.0,Eagles,Tony Franklin 41 yard field goal,3,10
3,3.0,Eagles,Harold Carmichael 44 yard pass from Ron Jaworski,9,10
4,3.0,Redskins,Mark Moseley 43 yard field goal,9,13
