,Quarter,Tm,Detail,STL,NYG
0,1.0,Cardinals,Jim Bakken 42 yard field goal,3,0
1,1.0,Giants,Ernie Wheelwright 6 yard pass from Y.A. Tittle (Don Chandler kick),3,7
2,1.0,Cardinals,Jackie Smith 78 yard pass from Charley Johnson (Jim Bakken kick),10,7
3,2.0,Giants,Ernie Wheelwright 25 yard pass from Y.A. Tittle (Don Chandler kick),10,14
4,2.0,Giants,Joe Morrison 17 yard pass from Y.A. Tittle (Don Chandler kick),10,21
5,2.0,Giants,Don Chandler 9 yard field goal,10,24
6,3.0,Giants,Steve Thurlow 8 yard pass from Y.A. Tittle (Don Chandler kick),10,31
7,3.0,Cardinals,John David Crow 1 yard rush (Jim Bakken kick),17,31
8,4.0,Giants,Don Chandler 20 yard field goal,17,34
