,Quarter,Tm,Detail,GNB,BKN
0,1.0,Packers,Tiny Engebretsen 23 yard field goal,3,0
1,2.0,Packers,Don Hutson 5 yard pass from Arnie Herber (Ernie Smith kick),10,0
2,2.0,Packers,Don Hutson 12 yard pass from Arnie Herber (Ernie Smith kick),17,0
3,3.0,Packers,Clarke Hinkle 1 yard rush (Bob Monnett kick),24,0
4,3.0,Packers,Joe Laws 5 yard pass from Bob Monnett (Bob Monnett kick),31,0
5,3.0,Packers,Wayland Becker 14 yard pass from Bob Monnett (Bob Monnett kick),38,0
6,4.0,Dodgers,Bobby Wilson 12 yard pass from Phil Sarboe (Dick Crayne kick),38,7
