,Quarter,Tm,Detail,NYJ,IND
0,1.0,Colts,Dean Biasucci 45 yard field goal,0,3
1,2.0,Colts,Albert Bentley 1 yard rush (Dean Biasucci kick),0,10
2,2.0,Jets,Pat Leahy 46 yard field goal,3,10
3,2.0,Colts,Pat Beach 1 yard pass from Jack Trudeau (Dean Biasucci kick),3,17
4,2.0,Colts,Dean Biasucci 31 yard field goal,3,20
5,3.0,Colts,Eric Dickerson 1 yard rush (Dean Biasucci kick),3,27
6,4.0,Jets,Jo-Jo Townsell 23 yard pass from Pat Ryan (Pat Leahy kick),10,27
