,Quarter,Tm,Detail,SDG,HOU
0,1.0,Oilers,Skip Butler 29 yard field goal,0,3
1,1.0,Chargers,Don Woods 4 yard rush (Ray Wersching kick),7,3
2,2.0,Oilers,Don Hardeman 1 yard rush,7,9
3,2.0,Oilers,John Sawyer 4 yard pass from Dan Pastorini (Skip Butler kick),7,16
4,2.0,Chargers,Ray Wersching 29 yard field goal,10,16
5,3.0,Oilers,Ronnie Coleman 46 yard rush (Skip Butler kick),10,23
6,4.0,Oilers,Curley Culp 38 yard defensive fumble return (Skip Butler kick),10,30
7,4.0,Chargers,Dwight McDonald 30 yard pass from Jesse Freitas (Ray Wersching kick),17,30
8,4.0,Oilers,Skip Butler 38 yard field goal,17,33
