,Quarter,Tm,Detail,CLE,PRV
0,1.0,Indians,Algy Clark 2 yard pass from Dave Mishel (Dave Mishel kick),7,0
1,4.0,Indians,Otto Vokaty 3 yard rush,13,0
2,4.0,Steam Roller,Lee Woodruff 1 yard rush,13,6
