,Quarter,Tm,Detail,ATL,CHI
0,1.0,Bears,Jim Jones 10 yard pass from Rudy Bukich (Roger LeClerc kick),0,7
1,2.0,Bears,Roger LeClerc 17 yard field goal,0,10
2,3.0,Bears,Roger LeClerc 13 yard field goal,0,13
3,4.0,Bears,Roger LeClerc 13 yard field goal,0,16
4,4.0,Bears,Dick Gordon 7 yard pass from Rudy Bukich (Roger LeClerc kick),0,23
5,4.0,Falcons,Bob Sherlag 30 yard pass from Randy Johnson,6,23
