,Quarter,Tm,Detail,DET,TAM
0,1.0,Buccaneers,Bruce Hill 31 yard pass from Vinny Testaverde (John Carney kick),0,7
1,2.0,Buccaneers,Mark Carrier 31 yard pass from Vinny Testaverde (John Carney kick),0,14
2,3.0,Lions,Eddie Murray 27 yard field goal,3,14
3,3.0,Lions,Jeff Chadwick 19 yard pass from Rusty Hilger (Eddie Murray kick),10,14
4,4.0,Buccaneers,Mark Carrier 27 yard pass from Vinny Testaverde (John Carney kick),10,21
