,Quarter,Tm,Detail,NOR,SEA
0,1.0,Seahawks,Norm Johnson 22 yard field goal,0,3
1,2.0,Saints,Eric Martin 19 yard pass from Bobby Hebert (Morten Andersen kick),7,3
2,2.0,Seahawks,Norm Johnson 47 yard field goal,7,6
3,2.0,Saints,Morten Andersen 23 yard field goal,10,6
4,3.0,Seahawks,Norm Johnson 46 yard field goal,10,9
5,3.0,Saints,Dave Waymer 58 yard blocked field goal return (Morten Andersen kick),17,9
6,3.0,Seahawks,Norm Johnson 42 yard field goal,17,12
7,4.0,Saints,Morten Andersen 31 yard field goal,20,12
8,4.0,Seahawks,Brian Blades 3 yard pass from Kelly Stouffer (Norm Johnson kick),20,19
