,Quarter,Tm,Detail,ATL,MIN
0,1.0,Vikings,Preston Carpenter 52 yard pass from Bob Berry (Fred Cox kick),0,7
1,2.0,Falcons,Randy Johnson 1 yard rush (Lou Kirouac kick),7,7
2,2.0,Falcons,Ernie Wheelwright 1 yard rush,13,7
3,2.0,Falcons,Bob Riggle 62 yard interception return (Lou Kirouac kick),20,7
4,2.0,Vikings,Fred Cox 40 yard field goal,20,10
5,3.0,Vikings,Fred Cox 26 yard field goal,20,13
