,Quarter,Tm,Detail,SFO,NOR
0,1.0,Saints,Garo Yepremian 42 yard field goal,0,3
1,1.0,Saints,Chuck Muncie 2 yard rush (Garo Yepremian kick),0,10
2,1.0,Saints,Chuck Muncie 12 yard rush (Garo Yepremian kick),0,17
3,2.0,49ers,Ray Wersching 32 yard field goal,3,17
4,2.0,Saints,Chuck Muncie 1 yard rush (Garo Yepremian kick),3,24
5,3.0,49ers,Ray Wersching 47 yard field goal,6,24
6,3.0,49ers,Ken MacAfee 4 yard pass from Steve DeBerg (Ray Wersching kick),13,24
7,3.0,Saints,Tony Galbreath 4 yard rush (Garo Yepremian kick),13,31
8,4.0,49ers,Paul Hofer 1 yard rush (Ray Wersching kick),20,31
