,Quarter,Tm,Detail,PRT,CRD
0,1.0,Spartans,Chief McLain 22 yard rush (Tiny Lewis kick),7,0
1,2.0,Spartans,Tiny Lewis 8 yard rush,13,0
2,2.0,Cardinals,Ernie Nevers 1 yard rush (Ernie Nevers kick),13,7
3,2.0,Cardinals,Cobb Rooney 29 yard pass from Ernie Nevers,13,13
4,4.0,Cardinals,Ernie Nevers 20 yard field goal,13,16
5,4.0,Cardinals,Ernie Nevers 3 yard rush (Ernie Nevers kick),13,23
