,Quarter,Tm,Detail,RAI,BUF
0,1.0,Bills,Robb Riddick 1 yard rush (Scott Norwood kick),0,7
1,1.0,Raiders,Steve Smith 1 yard rush (Chris Bahr kick),7,7
2,2.0,Bills,Thurman Thomas 37 yard rush (Scott Norwood kick),7,14
3,2.0,Bills,Scott Norwood 30 yard field goal,7,17
4,2.0,Bills,Scott Norwood 30 yard field goal,7,20
5,3.0,Bills,Robb Riddick 2 yard rush (Scott Norwood kick),7,27
6,3.0,Raiders,Tim Brown 43 yard pass from Jay Schroeder (Chris Bahr kick),14,27
7,4.0,Bills,Butch Rolle 2 yard pass from Jim Kelly (Scott Norwood kick),14,34
8,4.0,Raiders,Steve Smith 6 yard pass from Jay Schroeder (Chris Bahr kick),21,34
9,4.0,Bills,Scott Norwood 22 yard field goal,21,37
