,Quarter,Tm,Detail,NYG,RAI
0,2.0,Giants,Jarrod Bunch 5 yard rush (Matt Bahr kick),7,0
1,2.0,Giants,Matt Bahr 18 yard field goal,10,0
2,3.0,Raiders,Jeff Jaeger 26 yard field goal,10,3
3,3.0,Raiders,Tim Brown 68 yard pass from Todd Marinovich (Jeff Jaeger kick),10,10
4,4.0,Raiders,Jeff Jaeger 54 yard field goal,10,13
