,Quarter,Tm,Detail,NYG,PIT
0,1.0,Giants,"Safety, Chandnois recovered block punt in own end",2,0
1,1.0,Giants,Ken MacAfee 21 yard pass from Charlie Conerly (Ben Agajanian kick),9,0
2,2.0,Steelers,Johnny Lattner 5 yard rush,9,6
3,2.0,Giants,Kyle Rote 23 yard pass from Charlie Conerly (Ben Agajanian kick),16,6
4,2.0,Giants,Eddie Price 2 yard rush (Ben Agajanian kick),23,6
5,3.0,Giants,Bob Topp 14 yard pass from Charlie Conerly (Ben Agajanian kick),30,6
