,Quarter,Tm,Detail,MIA,NWE
0,1.0,Dolphins,Ron Davenport 3 yard rush (Fuad Reveiz kick),7,0
1,2.0,Dolphins,Fuad Reveiz 26 yard field goal,10,0
2,2.0,Patriots,Tony Franklin 38 yard field goal,10,3
3,3.0,Dolphins,Fuad Reveiz 32 yard field goal,13,3
4,4.0,Patriots,Greg Hawthorne 28 yard pass from Steve Grogan (Tony Franklin kick),13,10
5,4.0,Patriots,Steve Grogan 1 yard rush (Tony Franklin kick),13,17
