,Quarter,Tm,Detail,DET,BAL
0,2.0,Lions,Steve Mike-Mayer 25 yard field goal,3,0
1,3.0,Colts,Toni Linhart 31 yard field goal,3,3
2,4.0,Lions,Steve Mike-Mayer 37 yard field goal,6,3
3,4.0,Colts,Lydell Mitchell 34 yard pass from Bert Jones (Toni Linhart kick),6,10
4,4.0,Lions,Leonard Thompson 2 yard blocked punt return (Steve Mike-Mayer kick),13,10
