,Quarter,Tm,Detail,CHI,ATL
0,1.0,Falcons,Ali Haji-Sheikh 37 yard field goal,0,3
1,2.0,Falcons,Joel Williams 14 yard interception return (Ali Haji-Sheikh kick),0,10
2,2.0,Bears,Kevin Butler 32 yard field goal,3,10
3,3.0,Bears,Mike Tomczak 1 yard rush (Kevin Butler kick),10,10
4,3.0,Bears,Kevin Butler 44 yard field goal,13,10
