,Quarter,Tm,Detail,POT,CHI
0,1.0,Bears,"Safety,",0,2
1,1.0,Maroons,Barney Wentz 1 yard rush,6,2
2,2.0,Bears,"Safety,",6,4
3,2.0,Bears,Paddy Driscoll 1 yard rush,6,10
4,3.0,Bears,George Halas fumble recovery in end zone,6,16
5,3.0,Bears,George Halas 33 yard pass from Joey Sternaman (Joey Sternaman kick),6,23
6,3.0,Bears,Buck White 3 yard rush (Joey Sternaman kick),6,30
7,4.0,Maroons,Barney Wentz 24 yard rush,12,30
