,Quarter,Time,Tm,Detail,BUF,IND
0,1.0,,Bills,Steve Christie 22 yard field goal,3,0
1,2.0,,Bills,Steve Christie 47 yard field goal,6,0
2,3.0,,Colts,Cary Blanchard 39 yard field goal,6,3
3,4.0,,Colts,Cary Blanchard 32 yard field goal,6,6
4,4.0,,Bills,Steve Christie 27 yard field goal,9,6
