,Quarter,Tm,Detail,PIT,CLE
0,1.0,Steelers,Bennie Cunningham 7 yard pass from Terry Bradshaw (Matt Bahr kick),7,0
1,1.0,Steelers,Sidney Thornton 10 yard pass from Terry Bradshaw (Matt Bahr kick),14,0
2,1.0,Steelers,Franco Harris 71 yard rush (Matt Bahr kick),21,0
3,2.0,Steelers,Jim Smith 14 yard pass from Terry Bradshaw,27,0
4,2.0,Browns,Reggie Rucker 32 yard pass from Brian Sipe (Don Cockroft kick),27,7
5,2.0,Browns,Ozzie Newsome 18 yard pass from Brian Sipe (Don Cockroft kick),27,14
6,2.0,Steelers,Matt Bahr 42 yard field goal,30,14
7,3.0,Steelers,Franco Harris 25 yard rush (Matt Bahr kick),37,14
8,3.0,Browns,Calvin Hill 14 yard pass from Brian Sipe (Don Cockroft kick),37,21
9,4.0,Steelers,Rocky Bleier 70 yard rush (Matt Bahr kick),44,21
10,4.0,Browns,Dave Logan 30 yard pass from Brian Sipe (Don Cockroft kick),44,28
11,4.0,Browns,Dave Logan 13 yard pass from Brian Sipe (Don Cockroft kick),44,35
12,4.0,Steelers,Sidney Thornton 1 yard rush (Matt Bahr kick),51,35
