,Quarter,Tm,Detail,MIN,CHI
0,2.0,Bears,Glen Kozlowski 9 yard pass from Mike Hohensee (Tim Lashar kick),0,7
1,3.0,Bears,Chris Brewer 1 yard rush (Tim Lashar kick),0,14
2,3.0,Bears,Tim Lashar 26 yard field goal,0,17
3,4.0,Vikings,James Brim 11 yard pass from Tony Adams (Dale Dawson kick),7,17
4,4.0,Bears,Tim Lashar 27 yard field goal,7,20
5,4.0,Bears,Bruce McCray 23 yard interception return (Tim Lashar kick),7,27
