,Quarter,Tm,Detail,DET,WAS
0,1.0,Redskins,Bob Masterson 10 yard pass from Sammy Baugh (Bob Masterson kick),0,7
1,2.0,Redskins,Bob Seymour 28 yard pass from Sammy Baugh (Bob Masterson kick),0,14
2,2.0,Redskins,Lou Rymkus 21 yard interception return (Bob Masterson kick),0,21
3,3.0,Redskins,Bob Masterson 10 yard pass from Sammy Baugh (Bob Masterson kick),0,28
4,3.0,Lions,Jack Matheson 22 yard pass from Frankie Sinkwich,6,28
5,3.0,Lions,Frankie Sinkwich 39 yard interception return (Augie Lio kick),13,28
6,4.0,Lions,Bill Callihan 40 yard pass from Frankie Sinkwich (Augie Lio kick),20,28
7,4.0,Redskins,Andy Farkas 41 yard rush (Joe Aguirre kick),20,35
8,4.0,Redskins,Joe Aguirre 4 yard pass from Sammy Baugh (Joe Aguirre kick),20,42
