,Quarter,Time,Tm,Detail,KAN,DEN
0,2.0,,Broncos,Leonard Russell 12 yard rush (Jason Elam kick),0,7
1,2.0,,Chiefs,Marcus Allen 7 yard rush (Lin Elliott kick),7,7
2,2.0,,Broncos,Anthony Miller 27 yard pass from John Elway (Jason Elam kick),7,14
3,2.0,,Chiefs,J.J. Birden 6 yard pass from Joe Montana (Lin Elliott kick),14,14
4,3.0,,Chiefs,Joe Valerio 4 yard pass from Joe Montana (Lin Elliott kick),21,14
5,3.0,,Broncos,Jerry Evans 20 yard pass from John Elway (Jason Elam kick),21,21
6,4.0,,Chiefs,Lin Elliott 19 yard field goal,24,21
7,4.0,,Broncos,John Elway 4 yard rush (Jason Elam kick),24,28
8,4.0,,Chiefs,Willie Davis 5 yard pass from Joe Montana (Lin Elliott kick),31,28
