,Quarter,Tm,Detail,OAK,HOU
0,1.0,Oilers,Skip Butler 22 yard field goal,0,3
1,1.0,Oilers,Skip Butler 40 yard field goal,0,6
2,2.0,Raiders,Cliff Branch 9 yard pass from Mike Rae (Fred Steinfort kick),7,6
3,4.0,Raiders,Cliff Branch 33 yard pass from Mike Rae (Fred Steinfort kick),14,6
4,4.0,Oilers,Mack Alston 4 yard pass from Dan Pastorini (Skip Butler kick),14,13
