,Quarter,Tm,Detail,CRD,FRN
0,1.0,Yellow Jackets,Ken Mercer 30 yard field goal,0,3
1,2.0,Yellow Jackets,"Safety,",0,5
2,2.0,Cardinals,Ben Jones 10 yard rush,6,5
3,3.0,Cardinals,"Safety,",8,5
4,4.0,Yellow Jackets,Two-Bits Homan 18 yard pass from Ken Mercer (Ken Mercer kick),8,12
