,Quarter,Time,Tm,Detail,NYG,ARI
0,1.0,,Cardinals,Adrian Murrell 20 yard pass from Jake Plummer (Chris Jacke kick),0,7
1,1.0,,Giants,Tiki Barber 87 yard pass from Kent Graham (Brad Daluiso kick),7,7
2,1.0,,Cardinals,Adrian Murrell 8 yard rush (Chris Jacke kick),7,14
3,2.0,,Cardinals,Chris Jacke 21 yard field goal,7,17
4,2.0,0:07,Giants,Brad Daluiso 51 yard field goal,10,17
5,3.0,0:07,Giants,Brad Daluiso 28 yard field goal,13,17
6,3.0,0:07,Giants,Charles Way 8 yard rush (Brad Daluiso kick),20,17
7,4.0,0:07,Giants,Brad Daluiso 45 yard field goal,23,17
8,4.0,0:07,Cardinals,"Safety, Maynard ran out of end zone",23,19
