,Quarter,Tm,Detail,SDG,WAS
0,1.0,Chargers,Anthony Miller 25 yard pass from Billy Joe Tolliver (Chris Bahr kick),7,0
1,1.0,Chargers,Wayne Walker 5 yard pass from Billy Joe Tolliver (Chris Bahr kick),14,0
2,2.0,Redskins,Ricky Sanders 45 yard pass from Mark Rypien (Chip Lohmiller kick),14,7
3,3.0,Redskins,Chip Lohmiller 38 yard field goal,14,10
4,3.0,Redskins,Chip Lohmiller 31 yard field goal,14,13
5,3.0,Redskins,Chip Lohmiller 32 yard field goal,14,16
6,4.0,Chargers,Marion Butts 10 yard rush (Chris Bahr kick),21,16
7,4.0,Redskins,Gary Clark 33 yard pass from Mark Rypien (Chip Lohmiller kick),21,23
8,4.0,Redskins,Chip Lohmiller 28 yard field goal,21,26
