,Quarter,Tm,Detail,WAS,PHI
0,1.0,Redskins,Charley Taylor 23 yard pass from Sonny Jurgensen (Curt Knight kick),7,0
1,2.0,Eagles,Norm Bulaich 80 yard pass from Roman Gabriel (Tom Dempsey kick),7,7
2,3.0,Redskins,Charley Taylor 10 yard pass from Sonny Jurgensen (Curt Knight kick),14,7
3,4.0,Redskins,Larry Brown 1 yard rush (Curt Knight kick),21,7
4,4.0,Redskins,Ted Vactor 34 yard interception return (Curt Knight kick),28,7
