,Quarter,Tm,Detail,DEN,SDG
0,1.0,Broncos,Jason Elam 30 yard field goal,3,0
1,2.0,Broncos,David Wyman 1 yard pass from Tommy Maddox (Jason Elam kick),10,0
2,3.0,Chargers,John Carney 27 yard field goal,10,3
3,4.0,Chargers,Natrone Means 1 yard rush (John Carney kick),10,10
4,4.0,Chargers,John Carney 34 yard field goal,10,13
