,Quarter,Time,Tm,Detail,NYG,JAX
0,2.0,14:57,Giants,Rashad Jennings 2 yard rush (Josh Brown kick),7,0
1,2.0,11:27,Giants,Preston Parker 3 yard pass from Eli Manning (Josh Brown kick),14,0
2,2.0,6:30,Giants,Rashad Jennings 17 yard rush (Josh Brown kick),21,0
3,2.0,2:03,Jaguars,Josh Scobee 28 yard field goal,21,3
4,3.0,11:13,Jaguars,J.T. Thomas defensive fumble recovery in end zone (Josh Scobee kick),21,10
5,3.0,1:55,Jaguars,Marqise Lee 30 yard pass from Blake Bortles (pass failed),21,16
6,4.0,12:56,Jaguars,Aaron Colvin 41 yard defensive fumble return (pass failed),21,22
7,4.0,3:26,Giants,Josh Brown 33 yard field goal,24,22
8,4.0,0:28,Jaguars,Josh Scobee 43 yard field goal,24,25
