,Quarter,Time,Tm,Detail,GNB,CHI
0,1.0,,Bears,Raymont Harris 1 yard rush (Jeff Jaeger kick),0,7
1,1.0,,Bears,Jeff Jaeger 41 yard field goal,0,10
2,2.0,,Packers,Mark Chmura 2 yard pass from Brett Favre (Ryan Longwell kick),7,10
3,2.0,,Packers,Dorsey Levens 1 yard pass from Brett Favre (Ryan Longwell kick),14,10
4,3.0,,Bears,Erik Kramer 3 yard rush (Jeff Jaeger kick),14,17
5,3.0,,Packers,Mark Chmura 12 yard pass from Brett Favre (Ryan Longwell kick),21,17
6,4.0,,Packers,Ryan Longwell 37 yard field goal,24,17
7,4.0,,Bears,Chris Penn 22 yard pass from Erik Kramer (pass failed),24,23
