,Quarter,Tm,Detail,DEN,NWE
0,1.0,Broncos,Haven Moses 17 yard pass from Matt Robinson (Fred Steinfort kick),7,0
1,1.0,Patriots,John Smith 26 yard field goal,7,3
2,2.0,Patriots,Vagas Ferguson 2 yard rush (John Smith kick),7,10
3,3.0,Broncos,Otis Armstrong 8 yard rush (Fred Steinfort kick),14,10
4,3.0,Patriots,Stanley Morgan 45 yard pass from Steve Grogan (John Smith kick),14,17
5,4.0,Patriots,John Smith 19 yard field goal,14,20
6,4.0,Patriots,John Smith 36 yard field goal,14,23
