,Quarter,Tm,Detail,RAI,BUF
0,1.0,Raiders,Willie Gault 11 yard pass from Jay Schroeder (Jeff Jaeger kick),7,0
1,2.0,Bills,Andre Reed 13 yard pass from Jim Kelly (Scott Norwood kick),7,7
2,2.0,Raiders,Jeff Jaeger 19 yard field goal,10,7
3,3.0,Raiders,Marcus Allen 1 yard rush (Jeff Jaeger kick),17,7
4,3.0,Bills,Keith McKeller 15 yard pass from Jim Kelly (Scott Norwood kick),17,14
5,4.0,Raiders,Steve Smith 4 yard pass from Jay Schroeder (Jeff Jaeger kick),24,14
6,4.0,Bills,James Lofton 42 yard pass from Jim Kelly (Scott Norwood kick),24,21
7,4.0,Bills,James Williams 38 yard blocked punt return (Scott Norwood kick),24,28
8,4.0,Bills,Scott Norwood 23 yard field goal,24,31
9,4.0,Bills,Nate Odomes 49 yard defensive fumble return (Scott Norwood kick),24,38
