,Quarter,Tm,Detail,NWE,CIN
0,2.0,Patriots,Stanley Morgan 17 yard pass from Steve Grogan (John Smith kick),7,0
1,3.0,Patriots,Don Calhoun 3 yard rush (John Smith kick),14,0
2,3.0,Bengals,Jack Thompson 13 yard rush (Chris Bahr kick),14,7
3,4.0,Patriots,John Smith 39 yard field goal,17,7
4,4.0,Patriots,John Smith 39 yard field goal,20,7
5,4.0,Bengals,Jack Thompson 1 yard rush (Chris Bahr kick),20,14
