,Quarter,Tm,Detail,NYJ,GNB
0,1.0,Packers,Chester Marcol 9 yard field goal,0,3
1,2.0,Packers,Rich McGeorge 19 yard pass from Scott Hunter (Chester Marcol kick),0,10
2,2.0,Packers,Chester Marcol 37 yard field goal,0,13
3,3.0,Packers,Chester Marcol 10 yard field goal,0,16
4,4.0,Packers,John Brockington 1 yard rush (Chester Marcol kick),0,23
5,4.0,Jets,David Knight 17 yard pass from Al Woodall (Bobby Howfield kick),7,23
