,Quarter,Tm,Detail,NYJ,PIT
0,1.0,Jets,John Riggins 1 yard rush (Bobby Howfield kick),7,0
1,2.0,Steelers,Roy Gerela 27 yard field goal,7,3
2,2.0,Steelers,Roy Gerela 29 yard field goal,7,6
3,2.0,Jets,Rich Caster 28 yard pass from Bill Demory (Bobby Howfield kick),14,6
4,2.0,Steelers,Roy Gerela 36 yard field goal,14,9
5,3.0,Steelers,Roy Gerela 13 yard field goal,14,12
6,4.0,Steelers,Ron Shanklin 16 yard pass from Terry Hanratty (Roy Gerela kick),14,19
7,4.0,Steelers,Franco Harris 2 yard rush (Roy Gerela kick),14,26
