,Quarter,Tm,Detail,PIT,DAL
0,1.0,Cowboys,Drew Pearson 29 yard pass from Roger Staubach (Toni Fritsch kick),0,7
1,1.0,Steelers,Randy Grossman 7 yard pass from Terry Bradshaw (Roy Gerela kick),7,7
2,2.0,Cowboys,Toni Fritsch 36 yard field goal,7,10
3,4.0,Steelers,"Safety, Harrison blocked Hoopes kick through end zone",9,10
4,4.0,Steelers,Roy Gerela 36 yard field goal,12,10
5,4.0,Steelers,Roy Gerela 18 yard field goal,15,10
6,4.0,Steelers,Lynn Swann 64 yard pass from Terry Bradshaw,21,10
7,4.0,Cowboys,Percy Howard 34 yard pass from Roger Staubach (Toni Fritsch kick),21,17
