,Quarter,Tm,Detail,KAN,CHI
0,1.0,Chiefs,Carlos Carson 29 yard pass from Bill Kenney (Nick Lowery kick),7,0
1,1.0,Chiefs,Jonathan Hayes 15 yard pass from Bill Kenney (Nick Lowery kick),14,0
2,1.0,Bears,Dennis Gentry 88 yard kickoff return (Kevin Butler kick),14,7
3,2.0,Bears,Cap Boso 28 yard pass from Jim McMahon (Kevin Butler kick),14,14
4,2.0,Chiefs,Larry Moriarty 4 yard pass from Bill Kenney (Nick Lowery kick),21,14
5,3.0,Chiefs,Stephone Paige 43 yard pass from Bill Kenney (Nick Lowery kick),28,14
6,3.0,Bears,Kevin Butler 27 yard field goal,28,17
7,4.0,Bears,Willie Gault 25 yard pass from Jim McMahon (Kevin Butler kick),28,24
8,4.0,Bears,Willie Gault 38 yard pass from Jim McMahon (Kevin Butler kick),28,31
