,Quarter,Tm,Detail,HOU,CLE
0,3,Oilers,Tony Zendejas 47 yard field goal,3,0
1,4,Browns,Brian Brennan 33 yard pass from Bernie Kosar (Mark Moseley kick),3,7
2,4,Browns,Mark Moseley 23 yard field goal,3,10
3,4,Oilers,Ray Wallace 11 yard pass from Oliver Luck (Tony Zendejas kick),10,10
4,OT,Browns,Mark Moseley 29 yard field goal,10,13
